name,sites,lnL,parameters,subsets,aic,aicc,bic
start_scheme,10231,-40797.70,2496,39,86587.40,88199.12,104641.42
step_1,10231,-40809.95,2432,38,86483.89,88001.48,104074.98
step_2,10231,-40822.40,2368,37,86380.81,87807.87,103508.97
step_3,10231,-40835.06,2304,36,86278.13,87618.21,102943.37
step_4,10231,-40849.19,2240,35,86178.38,87434.91,102380.70
step_5,10231,-40863.93,2176,34,86079.86,87256.21,101819.25
step_6,10231,-40879.22,2112,33,85982.45,87081.89,101258.92
step_7,10231,-40896.31,2048,32,85888.62,86914.37,100702.16
step_8,10231,-40913.43,1984,31,85794.85,86750.04,100145.48
step_9,10231,-40931.00,1920,30,85702.01,86589.69,99589.71
step_10,10231,-40948.92,1856,29,85609.83,86433.00,99034.61
step_11,10231,-40970.87,1792,28,85525.74,86287.30,98487.59
step_12,10231,-40992.34,1728,27,85440.68,86143.51,97939.61
step_13,10231,-41019.37,1664,26,85366.75,86013.62,97402.75
step_14,10231,-41038.55,1600,25,85277.10,85870.75,96850.18
step_15,10231,-41068.47,1536,24,85208.94,85752.03,96319.10
step_16,10231,-41093.29,1472,23,85130.58,85625.73,95777.82
step_17,10231,-41127.90,1408,22,85071.79,85521.55,95256.11
step_18,10231,-41163.20,1344,21,85014.40,85421.26,94735.79
step_19,10231,-41195.06,1280,20,84950.12,85316.53,94208.59
step_20,10231,-41225.42,1216,19,84882.83,85211.18,93678.38
step_21,10231,-41262.69,1152,18,84829.39,85122.02,93162.01
step_22,10231,-41294.79,1088,17,84765.57,85024.78,92635.27
step_23,10231,-41332.82,1024,16,84713.63,84941.66,92120.41
step_24,10231,-41361.39,960,15,84642.78,84841.82,91586.63
step_25,10231,-41406.07,896,14,84604.13,84776.35,91085.06
step_26,10231,-41446.80,832,13,84557.59,84705.08,90575.59
step_27,10231,-41491.85,768,12,84519.70,84644.53,90074.78
step_28,10231,-41548.39,704,11,84504.77,84608.97,89596.93
step_29,10231,-41601.80,640,10,84483.60,84569.15,89112.83
step_30,10231,-41665.02,576,9,84482.05,84550.90,88648.36
step_31,10231,-41735.41,512,8,84494.82,84548.87,88198.20
